country,year,volume,stock,volume_rate
Austria,1984,14204000,1019810729.2857143,0.01392807468298419
Austria,1985,14222000,1019810729.2857143,0.013945725016995293
Austria,1986,13721000,1019810729.2857143,0.013454457387019577
Austria,1987,13604000,1019810729.2857143,0.013339730215947403
Austria,1988,14972000,1019810729.2857143,0.014681155600791276
Austria,1989,16255000,1019810729.2857143,0.015939232186138273
Austria,1990,16773000,1019810729.2857143,0.016447169576013363
Austria,1991,15572000,1019810729.2857143,0.015269500067828063
Austria,1992,12849000,1019810729.2857143,0.01259939676159278
Austria,1993,12857000,1019810729.2857143,0.012607241354486605
Austria,1994,14960000,1019810729.2857143,0.014669388711450541
Austria,1995,14405000,1019810729.2857143,0.014125170079441514
Austria,1996,15609000,1019810729.2857143,0.015305781309961998
Austria,1997,15325000,1019810729.2857143,0.015027298262231252
Austria,1998,14033000,1019810729.2857143,0.013760396509878706
Austria,1999,14083000,1019810729.2857143,0.013809425215465104
Austria,2000,13276000,1019810729.2857143,0.013018101907300626
Austria,2001,13467000,1019810729.2857143,0.01320539156264067
Austria,2002,14846000,1019810729.2857143,0.014557603262713551
Austria,2003,17055000,1019810729.2857143,0.016723691475520653
Austria,2004,16483000,1019810729.2857143,0.01616280308361225
Austria,2005,16471000,1019810729.2857143,0.016151036194271513
Austria,2006,19135000,1019810729.2857143,0.018763285627914846
Austria,2007,21317341,1019810729.2857143,0.02090323271547739
Austria,2008,21795428,1019810729.2857143,0.021372032450831083
Austria,2009,16727438,1019810729.2857143,0.016402492658334815
Austria,2010,17830956,1019810729.2857143,0.017484573840960648
Austria,2011,18695671,1019810729.2857143,0.018332490983983506
Austria,2012,18020680,1019810729.2857143,0.017670612283734125
Austria,2013,17389735,1019810729.2857143,0.017051923950809917
Austria,2014,17088560,1019810729.2857143,0.016756599542710245
Austria,2015,17549526,1019810729.2857143,0.017208610868697044
Austria,2016,16763033,1019810729.2857143,0.01643739619384177
Czechia/Slovakia,1984,18913000,1112451224.5428572,0.017001194823415267
Czechia/Slovakia,1985,19002000,1112451224.5428572,0.017081198331017657
Czechia/Slovakia,1986,18933000,1112451224.5428572,0.017019173139730413
Czechia/Slovakia,1987,18679000,1112451224.5428572,0.01679084852252809
Czechia/Slovakia,1988,18096000,1112451224.5428572,0.016266780601941665
Czechia/Slovakia,1989,18232000,1112451224.5428572,0.01638903315288464
Czechia/Slovakia,1990,18180000,1112451224.5428572,0.016342289530465265
Czechia/Slovakia,1991,15289000,1112451224.5428572,0.013743523907111302
Czechia/Slovakia,1992,14556000,1112451224.5428572,0.0130846186141613
Germany,1984,41216000,3127330048,0.013179293316469295
Germany,1985,41518000,3127330048,0.013275861313887137
Germany,1986,41123000,3127330048,0.013149555489449894
Germany,1987,41567000,3127330048,0.013291529631348971
Germany,1988,43470000,3127330048,0.01390003591971371
Germany,1989,48126000,3127330048,0.015388845840168898
Germany,1990,84707000,3127330048,0.027086044229380934
